City;Year;Population;Diffrence;Growth in %
Pune;2012;5229671;;
Pune;2013;5400551;170880;3.164.121.587
Pune;2014;5572009;171458;3.077.130.708
Pune;2015;5743865;171856;2.991.992.326
Pune;2016;5926606;182741;3.083.400.516
Pune;2017;6097058;170452;2.795.643.407
Pune;2018;6267289;170231;2.716.182.388
Bangalore;2012;8973658;;-
Bangalore;2013;9556945;583287;610.327.882
Bangalore;2014;10178146;621201;6.103.282.464
Bangalore;2015;10839725;661579;610.328.214
Bangalore;2016;11556907;717182;6.205.656.929
Bangalore;2017;12339447;782540;6.341.775.284
Bangalore;2018;13182115;842668;6.392.509.851
